Skill,r
Service Orientation,1709.1444944734367
Coordination,1262.6992767681072
Management of Material Resources,1161.7094282870833
Persuasion,1116.4788589990553
Management of Financial Resources,1060.4643230645174
Social Perceptiveness,998.8901759851015
Negotiation,949.981477438346
Time Management,860.0925617336173
Management of Personnel Resources,730.1923705202576
Critical Thinking,653.6976246415505
Judgment and Decision Making,611.8453042535772
Complex Problem Solving,439.28174904492727
Monitoring,380.40669188776724
Systems Evaluation,359.8055140038008
Systems Analysis,347.1887931366756
Active Learning,202.73986092271218
Active Listening,173.82071452592746
Quality Control Analysis,156.59176175761286
Science,100.21753836153334
Speaking,71.73121425228395
Operations Analysis,70.6144184452986
Operations Monitoring,31.430426632978524
Learning Strategies,18.511218806810223
Operation and Control,16.53314262880322
Instructing,6.788349637656732
Troubleshooting,6.218391993194153
Reading Comprehension,-3.120317725314101
Equipment Selection,-8.897625903426816
Installation,-67.07828711483192
Equipment Maintenance,-70.87855789042665
Repairing,-78.69895390469749
Mathematics,-121.5766479552786
Writing,-176.84534879644664
Technology Design,-176.87503225208806
Programming,-913.7968930060813
